member_name,member_type,team,email,dob,password,authorisation
Aleshia Tomkiewicz,coach,,atomkiewicz@hotmail.com,20/04/2006,temp,0
Evan Zigomalas,coach,,evan.zigomalas@gmail.com,21/04/2006,temp,0
France Andrade,player,Hot Shots 1,france.andrade@hotmail.com,22/04/2006,temp,1
Ulysses Mcwalters,player,Hot Shots 2,ulysses@hotmail.com,23/04/2006,temp,1
Tyisha Veness,player,Hot Shots 3,tyisha.veness@hotmail.com,24/04/2006,temp,1
Eric Rampy,player,Hot Shots 1,erampy@rampy.co.uk,25/04/2006,temp,1
Marg Grasmick,player,Hot Shots 2,marg@hotmail.com,26/04/2006,temp,1
Laquita Hisaw,player,Hot Shots 3,laquita@yahoo.com,27/04/2006,temp,1
Lura Manzella,player,Hot Shots 1,lura@hotmail.com,28/04/2006,temp,1
Yuette Klapec,player,Hot Shots 2,yuette.klapec@klapec.co.uk,29/04/2006,temp,1
Fernanda Writer,player,Hot Shots 3,fernanda@writer.co.uk,30/04/2006,temp,1
Charlesetta Erm,player,Hot Shots 1,charlesetta_erm@gmail.com,01/05/2006,temp,1
Corrinne Jaret,player,Hot Shots 2,corrinne_jaret@gmail.com,02/05/2006,temp,1
Niesha Bruch,player,Hot Shots 3,niesha.bruch@yahoo.com,03/05/2006,temp,1
Rueben Gastellum,player,Hot Shots 1,rueben_gastellum@gastellum.co.uk,04/05/2006,temp,1
Michell Throssell,player,Hot Shots 2,mthrossell@throssell.co.uk,05/05/2006,temp,1
Edgar Kanne,player,Hot Shots 3,edgar.kanne@yahoo.com,06/05/2006,temp,1
Dewitt Julio,player,Hot Shots 1,dewitt.julio@hotmail.com,07/05/2006,temp,1
Charisse Spinello,player,Hot Shots 2,charisse_spinello@spinello.co.uk,08/05/2006,temp,1
Mee Lapinski,player,Hot Shots 3,mee.lapinski@yahoo.com,09/05/2006,temp,1
Peter Gutierres,player,Hot Shots 1,peter_gutierres@yahoo.com,10/05/2006,temp,1
Octavio Salvadore,player,Hot Shots 2,octavio.salvadore@yahoo.com,11/05/2006,temp,1
Martha Teplica,player,Hot Shots 3,mteplica@teplica.co.uk,12/05/2006,temp,1
Tamesha Veigel,player,Hot Shots 1,tveigel@veigel.co.uk,13/05/2006,temp,1
Tess Sitra,player,Hot Shots 2,tess_sitra@hotmail.com,14/05/2006,temp,1
Leonard Kufner,player,Hot Shots 3,lkufner@kufner.co.uk,15/05/2006,temp,1
Svetlana Tauras,player,Hot Shots 1,svetlana_tauras@tauras.co.uk,16/05/2006,temp,1
Pok Molaison,player,Hot Shots 2,pok@yahoo.com,17/05/2006,temp,1
Augustine Growcock,player,Hot Shots 3,augustine.growcock@growcock.co.uk,18/05/2006,temp,1
